name,rank
University of Cape Town,251–300
Carlos III University of Madrid,251–300
University of Cologne,251–300
COMSATS University Islamabad,251–300
Drexel University,251–300
University of Geneva,251–300
Goethe University Frankfurt,251–300
University of Gothenburg,251–300
Hasselt University,251–300
University of Hohenheim,251–300
University of Hull,251–300
University of Iowa,251–300
Iran University of Science and Technology,251–300
ITMO University,251–300
Johannes Kepler University of Linz,251–300
King Fahd University of Petroleum and Minerals,251–300
University of Klagenfurt,251–300
University of Konstanz,251–300
Université Libre de Bruxelles,251–300
University of Luxembourg,251–300
Monterrey Institute of Technology,251–300
Nankai University,251–300
"National University of Ireland, Galway",251–300
National University of Sciences and Technology,251–300
University of Oulu,251–300
Panthéon-Sorbonne University – Paris 1,251–300
University of Pittsburgh-Pittsburgh campus,251–300
Pusan National University,251–300
Universiti Putra Malaysia,251–300
Queen’s University Belfast,251–300
RMIT University,251–300
Sapienza University of Rome,251–300
University of Stavanger,251–300
University of Tartu,251–300
Tel Aviv University,251–300
United Arab Emirates University,251–300
Uppsala University,251–300
Ural Federal University,251–300
Victoria University,251–300
Vilnius Gediminas Technical University (Vilnius Tech),251–300
Virginia Polytechnic Institute and State University,251–300
Xi’an Jiaotong University,251–300
University of Žilina,251–300
American University of Sharjah,301–400
Auckland University of Technology,301–400
Baylor University,301–400
Beijing Forestry University,301–400
University of Beira Interior,301–400
University at Buffalo,301–400
Ca’ Foscari University of Venice,301–400
University of Calgary,301–400
Catholic University of Portugal,301–400
"China University of Geosciences, Wuhan",301–400
China University of Mining and Technology,301–400
Chongqing University,301–400
Chung-Ang University,301–400
Concordia University,301–400
University of Connecticut,301–400
Coventry University,301–400
Curtin University,301–400
Dalian University of Technology,301–400
University of Derby,301–400
University of Deusto,301–400
Edinburgh Napier University,301–400
University of Ferrara,301–400
Florida State University,301–400
George Mason University,301–400
University of Granada,301–400
University of Graz,301–400
University of Greenwich,301–400
University of Hawai’i at Mānoa,301–400
Heriot-Watt University,301–400
Huazhong Agricultural University,301–400
Hunan University,301–400
University of Illinois at Chicago,301–400
University of International Business and Economics,301–400
Iowa State University,301–400
ISCTE-University Institute of Lisbon,301–400
James Cook University,301–400
Jiangsu University,301–400
Jinan University,301–400
University of Jyväskylä,301–400
Karlstad University,301–400
Kingston University,301–400
University of Lahore,301–400
Lahore University of Management Sciences,301–400
Lebanese American University,301–400
University of Lincoln,301–400
Lincoln University,301–400
Institut Agro,301–400
University of Liverpool,301–400
Lviv Polytechnic National University,301–400
University of Macau,301–400
Macau University of Science and Technology,301–400
Manchester Metropolitan University,301–400
Massey University,301–400
Maynooth University,301–400
Middlesex University,301–400
University of Milan,301–400
Missouri University of Science and Technology,301–400
Murdoch University,301–400
Nanjing University of Information Science and Technology,301–400
University of Nantes,301–400
National Cheng Kung University (NCKU),301–400
National Sun Yat-Sen University,301–400
National Tsing Hua University,301–400
National Yang Ming Chiao Tung University,301–400
"University of Nevada, Las Vegas",301–400
Northwestern Polytechnical University,301–400
Norwegian University of Science and Technology,301–400
University of Ottawa,301–400
Oxford Brookes University,301–400
University of Passau,301–400
University of Pavia,301–400
University of Portsmouth,301–400
University of the Punjab,301–400
Qatar University,301–400
Queen’s University,301–400
University of Rome II – Tor Vergata,301–400
University of Salamanca,301–400
Shanghai University,301–400
Shanghai Maritime University,301–400
University of Sharjah,301–400
University of Siegen,301–400
Southeast University,301–400
University of Southern Queensland,301–400
Southwestern University of Finance and Economics,301–400
Stony Brook University,301–400
Università della Svizzera italiana,301–400
Swinburne University of Technology,301–400
Tampere University,301–400
The University of Tennessee-Knoxville,301–400
TU Dortmund University,301–400
University of Turin,301–400
University of Turku,301–400
University of Udine,301–400
Vanderbilt University,301–400
University of Victoria,301–400
Victoria University of Wellington,301–400
University of the West of England,301–400
University of the West of Scotland,301–400
Åbo Akademi University,401–500
Adolfo Ibáñez University,401–500
The University of Alabama,401–500
American University of Beirut,401–500
University of Arkansas,401–500
Athens University of Economics and Business,401–500
Auburn University,401–500
Bangor University,401–500
University of Barcelona,401–500
Bielefeld University,401–500
Bilkent University,401–500
Bond University,401–500
