name,rank
University of Würzburg,201–250
Xiamen University,201–250
University of Auckland,251–300
Autonomous University of Madrid,251–300
Babol Noshirvani University of Technology,251–300
Bangor University,251–300
University of Bath,251–300
University of Bologna,251–300
University of Bremen,251–300
Chalmers University of Technology,251–300
University of Cologne,251–300
University of Côte d’Azur,251–300
CY Cergy Paris University,251–300
Eastern Mediterranean University,251–300
Hong Kong Baptist University,251–300
Huazhong University of Science and Technology,251–300
Hunan University,251–300
Indiana University,251–300
Indian Institute of Science,251–300
University of Iowa,251–300
"Islamic Azad University, Najafabad Branch (IAUN)",251–300
University of Jyväskylä,251–300
University of Kiel,251–300
University of Klagenfurt,251–300
Korea University,251–300
University of Liège,251–300
University of Macau,251–300
Montpellier University,251–300
North Carolina State University,251–300
Northeastern University,251–300
Northern Arizona University,251–300
Novosibirsk State University,251–300
Osaka University,251–300
University of Plymouth,251–300
Quaid-i-Azam University,251–300
Saint-Petersburg Mining University,251–300
University of Southern Queensland,251–300
University of South Florida,251–300
SUNY University at Albany,251–300
University of Tabuk,251–300
Technical University of Darmstadt,251–300
Tomsk State University,251–300
University of Trieste,251–300
Tufts University,251–300
University of Tuscia,251–300
University of Urbino Carlo Bo,251–300
University of Utah,251–300
Victoria University of Wellington,251–300
Washington State University,251–300
Yonsei University (Seoul campus),251–300
Abdul Wali Khan University Mardan,301–400
Aberystwyth University,301–400
"University of Agriculture, Faisalabad",301–400
Aix-Marseille University,301–400
University of Alabama in Huntsville,301–400
Al-Balqa Applied University,301–400
Auburn University,301–400
Azarbaijan Shahid Madani University,301–400
University of the Balearic Islands,301–400
University of Bayreuth,301–400
Beijing University of Chemical Technology,301–400
Beni-Suef University,301–400
Boston College,301–400
Brunel University London,301–400
University of Calgary,301–400
"University of California, Merced",301–400
University of Camerino (Unicam),301–400
University of Canberra,301–400
Carleton University,301–400
Charles Darwin University,301–400
Clark University,301–400
Dartmouth College,301–400
Don State Technical University,301–400
École des Mines de Saint-Étienne,301–400
Federal University of Toulouse Midi-Pyrénées,301–400
University of Ferrara,301–400
Florida International University,301–400
Friedrich Schiller University Jena,301–400
George Washington University,301–400
University of Gothenburg,301–400
Government College University Faisalabad,301–400
University of Guelph,301–400
Hazara University Mansehra,301–400
Hebrew University of Jerusalem,301–400
Heriot-Watt University,301–400
University of Illinois at Chicago,301–400
Indian Institute of Technology Gandhinagar,301–400
"International Islamic University, Islamabad",301–400
Iowa State University,301–400
Justus Liebig University Giessen,301–400
Kafrelsheikh University,301–400
Khalifa University,301–400
King Fahd University of Petroleum and Minerals,301–400
King Saud University,301–400
University of Konstanz,301–400
University of La Laguna,301–400
Leibniz University Hannover,301–400
University of Lincoln,301–400
Institut Agro,301–400
University of Malaya,301–400
University of Miami,301–400
University of Milan-Bicocca,301–400
University of Montana,301–400
University of Montreal,301–400
University of Naples Federico II,301–400
National Tsing Hua University,301–400
University of Nebraska-Lincoln,301–400
Nottingham Trent University,301–400
Ohio University (Main campus),301–400
Ontario Tech University,301–400
University of Oulu,301–400
Parthenope University of Naples,301–400
University of Perugia,301–400
University of Peshawar,301–400
University of Pisa,301–400
Prince Sattam Bin Abdulaziz University,301–400
Rensselaer Polytechnic Institute,301–400
RMIT University,301–400
Rovira i Virgili University,301–400
RUDN University,301–400
Ruhr University Bochum,301–400
University of Sharjah,301–400
Sichuan University,301–400
University of South Carolina-Columbia,301–400
South China University of Technology,301–400
Southwestern University of Finance and Economics,301–400
University of Strasbourg,301–400
University of Strathclyde,301–400
University of Stuttgart,301–400
Swansea University,301–400
University of Tartu,301–400
Technion Israel Institute of Technology,301–400
Temple University,301–400
University of Texas at Dallas,301–400
University of Texas Rio Grande Valley,301–400
Tianjin University,301–400
Tongji University,301–400
TU Wien,301–400
Ulm University,301–400
Umeå University,301–400
University of Valencia,301–400
Virginia Polytechnic Institute and State University,301–400
Vrije Universiteit Brussel,301–400
University of Waikato,301–400
University of Warsaw,301–400
University of the Western Cape,301–400
University of Wuppertal,301–400
Xi’an Jiaotong University,301–400
University of York,301–400
Zhejiang Normal University,301–400
The University of Alabama,401–500
Alagappa University,401–500
University of L’Aquila,401–500
University of Bari Aldo Moro,401–500
Benha University,401–500
University of Bordeaux,401–500
Universiti Brunei Darussalam,401–500
University at Buffalo,401–500
University of Campinas,401–500
University of Cape Town,401–500
University of Catania,401–500
Centrale Nantes,401–500
University of Central Florida,401–500
University of Chile,401–500
"China University of Geosciences, Wuhan",401–500
Claude Bernard University Lyon 1,401–500
University of Connecticut,401–500
University of Denver,401–500
University of Eastern Finland,401–500
Eötvös Loránd University,401–500
Ewha Womans University,401–500
Flinders University,401–500
University of Florence,401–500
University of Genoa,401–500
University of Girona,401–500
University of Granada,401–500
Hokkaido University,401–500
University of Houston,401–500
University of Hull,401–500
Indian Institute of Technology Indore,401–500
ITMO University,401–500
Jacobs University,401–500
Jamia Millia Islamia,401–500
Jiangsu University,401–500
Jinan University,401–500
University of Kansas,401–500
University of Kashan,401–500
Kazan Federal University,401–500
Keele University,401–500
Kent State University,401–500
King Khalid University,401–500
University of Kurdistan,401–500
Kyung Hee University,401–500
Lakehead University,401–500
Lehigh University,401–500
University of Limerick,401–500
Lorestan University,401–500
Loughborough University,401–500
Louisiana State University,401–500
University of Malakand,401–500
Manchester Metropolitan University,401–500
"University of Maryland, Baltimore County",401–500
McMaster University,401–500
Memorial University of Newfoundland,401–500
University of Milan,401–500
Missouri University of Science and Technology,401–500
University of Modena and Reggio Emilia,401–500
Montana State University,401–500
"National University of Ireland, Galway",401–500
National University of Science and Technology (MISiS),401–500
University of Newcastle,401–500
New Mexico State University (Main campus),401–500
Northern Illinois University,401–500
Northumbria University,401–500
North-West University,401–500
Northwestern Polytechnical University,401–500
Norwegian University of Science and Technology,401–500
The Open University,401–500
University of Otago,401–500
University of Ottawa,401–500
Universitat Politècnica de Catalunya,401–500
Pontifical Catholic University of Rio de Janeiro (PUC-Rio),401–500
Qingdao University,401–500
Université du Québec,401–500
University of Regensburg,401–500
Rochester Institute of Technology,401–500
University of Rome III,401–500
Saint Petersburg State University,401–500
University of Salerno,401–500
University of São Paulo,401–500
University of Saskatchewan,401–500
University of Sassari,401–500
University of Siegen,401–500
University of Siena,401–500
University of South Australia,401–500
Stellenbosch University,401–500
SUNY Binghamton University,401–500
Texas Tech University,401–500
Thapar Institute of Engineering and Technology,401–500
University of Toledo,401–500
Tomsk Polytechnic University,401–500
Tshwane University of Technology,401–500
TU Dortmund University,401–500
University of Turin,401–500
Wake Forest University,401–500
Wayne State University,401–500
Western University,401–500
Wuhan University of Technology,401–500
University of Wyoming,401–500
Xi’an Jiaotong-Liverpool University,401–500
York University,401–500
University of Alcalá,501–600
University of Algarve,501–600
Amirkabir University of Technology,501–600
Aswan University,501–600
University of Aveiro,501–600
University of the Basque Country,501–600
Beihang University,501–600
Bielefeld University,501–600
University of Bradford,501–600
University of Calabria,501–600
University of Canterbury,501–600
Charles University in Prague,501–600
China Agricultural University,501–600
China University of Mining and Technology,501–600
Chongqing University,501–600
Clarkson University,501–600
University of Clermont Auvergne,501–600
University of Coimbra,501–600
COMSATS University Islamabad,501–600
University of Córdoba,501–600
University of Cyprus,501–600
Donghua University,501–600
University of Duisburg-Essen,501–600
Heinrich Heine University Düsseldorf,501–600
Florida Atlantic University,501–600
Florida Institute of Technology,501–600
Fuzhou University,501–600
George Mason University,501–600
Georgia State University,501–600
University of Greenwich,501–600
Guangzhou University,501–600
University of Hail,501–600
University of Idaho,501–600
Indian Institute of Science Education and Research Kolkata,501–600
University of Insubria,501–600
Iran University of Science and Technology,501–600
University of Jaén,501–600
Jiangsu Normal University,501–600
The University of Jordan,501–600
Jordan University of Science and Technology,501–600
Kansas State University,501–600
University of Kent,501–600
University of Kentucky,501–600
King Mongkut’s University of Technology Thonburi,501–600
Koç University,501–600
University of KwaZulu-Natal,501–600
Kyushu University,501–600
Université Laval,501–600
University of Lisbon,501–600
Universiti Malaysia Perlis,501–600
Marquette University,501–600
Masaryk University,501–600
Mizzou - University of Missouri,501–600
University of Mohaghegh Ardabili,501–600
University of Namur,501–600
Nanjing University of Information Science and Technology,501–600
Nanjing Normal University,501–600
Nanjing Tech University,501–600
National and Kapodistrian University of Athens,501–600
National Yang Ming Chiao Tung University,501–600
Near East University,501–600
New Jersey Institute of Technology,501–600
University of Northern British Columbia (UNBC),501–600
University of Palermo,501–600
University of Parma,501–600
University of Pavia,501–600
Polytechnic University of Valencia,501–600
Pontificia Universidad Católica de Chile,501–600
University of Porto,501–600
Queen’s University,501–600
University of Regina,501–600
University of Rennes 1,501–600
University of Rhode Island,501–600
Rikkyo University,501–600
Rowan University,501–600
University of Santiago de Compostela,501–600
Shantou University,501–600
Sharif University of Technology,501–600
University of South Africa,501–600
South Valley University,501–600
University of Tabriz,501–600
"University of Technology, Iraq",501–600
Universiti Teknologi Malaysia,501–600
Universiti Teknologi Petronas,501–600
University of Texas at Arlington,501–600
The University of Texas at San Antonio,501–600
University of Trás-os-Montes and Alto Douro,501–600
University of Tsukuba,501–600
Tulane University,501–600
University of Turku,501–600
UiT The Arctic University of Norway,501–600
University College Cork,501–600
Ural Federal University,501–600
Wenzhou University,501–600
University of the West of England,501–600
Yangzhou University,501–600
Yasouj University,501–600
Yeungnam University,501–600
Zagazig University,501–600
Zewail City of Science and Technology,501–600
University of A Coruña,601–800
University of the Aegean,601–800
Al-Azhar University,601–800
Aligarh Muslim University,601–800
University of Almería,601–800
Amedeo Avogadro University of Eastern Piedmont,601–800
American University of Beirut,601–800
American University of Sharjah,601–800
"University of the Andes, Colombia",601–800
Universidad Andrés Bello (UNAB),601–800
Aristotle University of Thessaloniki,601–800
University of Arkansas,601–800
Assiut University,601–800
Atatürk University,601–800
Austral University of Chile,601–800
Babeş-Bolyai University,601–800
Bahauddin Zakariya University,601–800
Banaras Hindu University,601–800
Bar-Ilan University,601–800
Bauman Moscow State Technical University,601–800
Beijing Institute of Technology,601–800
University of Beira Interior,601–800
