name,rank
"University of the Andes, Venezuela",1001+
Andhra University,1001+
Ankara University,1001+
Annamalai University,1001+
Aoyama Gakuin University,1001+
Arak University,1001+
Ariel University,1001+
Universidad Autónoma del Estado de Hidalgo,1001+
Universidad Autónoma del Estado de Mexico (UAEMex),1001+
Universidad Autónoma de Nuevo León (UANL),1001+
Universidad Autónoma de Querétaro,1001+
Universidad Autónoma de Yucatán,1001+
Autonomous University of Baja California,1001+
Badji Mokhtar University – Annaba,1001+
University of Baghdad,1001+
Baku State University,1001+
Banasthali University,1001+
Bashkir State University,1001+
University of Basrah,1001+
University of Béjaïa,1001+
Belarusian State University,1001+
Belgorod State National Research University,1001+
Benemérita Universidad Autónoma de Puebla,1001+
University of Bío-Bío,1001+
University of Birjand,1001+
University of Biskra,1001+
Bolu Abant Izzet Baysal University,1001+
University of Brasília,1001+
University of Brawijaya,1001+
University of Burgos,1001+
Bursa Uludağ University,1001+
University of Carthage,1001+
Chungbuk National University,1001+
Chungnam National University,1001+
Chuo University,1001+
Cochin University of Science and Technology,1001+
University of Colombo,1001+
University of Dar es Salaam,1001+
Diponegoro University,1001+
Dokuz Eylül University,1001+
Dunarea de Jos University of Galati,1001+
Ege University,1001+
Ehime University,1001+
The University of Electro-Communications,1001+
Universidade do Estado do Rio de Janeiro (UERJ),1001+
Universidade Estadual de Maringá,1001+
Universidade Estadual do Oeste do Paraná (Unioeste),1001+
Universidade Federal da Bahia,1001+
Universidade Federal do Ceará (UFC),1001+
Federal University of Espírito Santo,1001+
Federal University of Goiás,1001+
Federal University of Itajubá,1001+
Universidade Federal de Juiz de Fora,1001+
Universidade Federal do Maranhão (UFMA),1001+
Universidade Federal de Ouro Preto (UFOP),1001+
Federal University of Pará,1001+
Universidade Federal do Paraná (UFPR),1001+
Federal University of Pelotas,1001+
Federal University of Piauí,1001+
Federal Rural University of Pernambuco,1001+
Universidade Federal de Sergipe,1001+
Federal University of Uberlândia,1001+
Federal University of Viçosa,1001+
Feng Chia University,1001+
Ferhat Abbas Sétif University 1,1001+
Fluminense Federal University,1001+
Université Frères Mentouri Constantine 1,1001+
Fukuoka University,1001+
Universitas Gadjah Mada,1001+
Gazi University,1001+
University of Ghana,1001+
GITAM University,1001+
University of Guadalajara,1001+
University of Guanajuato,1001+
The Hashemite University,1001+
Université Hassan 1er,1001+
University of Havana,1001+
Helwan University,1001+
University of Hradec Králové,1001+
University of Hyogo,1001+
University of Ibadan,1001+
Ibaraki University,1001+
Immanuel Kant Baltic Federal University,1001+
Universidad Industrial de Santander (UIS),1001+
Irkutsk State University,1001+
Istanbul University,1001+
Ivane Javakhishvili Tbilisi State University,1001+
Ivan Franko National University of Lviv,1001+
Izmir Institute of Technology,1001+
Jan Evangelista Purkyně University,1001+
Kagoshima University,1001+
Kanagawa University,1001+
Kansai University,1001+
Karadeniz Technical University,1001+
Kasetsart University,1001+
Kaunas University of Technology,1001+
Kharazmi University,1001+
Kindai University,1001+
King Mongkut’s Institute of Technology Ladkrabang,1001+
King Mongkut's University of Technology North Bangkok,1001+
Kocaeli University,1001+
Kochi University of Technology,1001+
Kogakuin University,1001+
Kookmin University,1001+
University of Kragujevac,1001+
Kumamoto University,1001+
Kunming University of Science and Technology,1001+
Kuwait University,1001+
University of Lagos,1001+
L.N. Gumilyov Eurasian National University,1001+
University of Łódź,1001+
Lodz University of Technology,1001+
Londrina State University,1001+
University of Lucknow,1001+
Maharaja Sayajirao University of Baroda,1001+
Manipal Academy of Higher Education,1001+
Maria Curie-Skłodowska University (UMCS),1001+
Marmara University,1001+
Meiji University,1001+
Metropolitan Autonomous University,1001+
M’Hamed Bougara University of Boumerdès,1001+
Universidad Michoacana de San Nicolás de Hidalgo,1001+
Ming Chi University of Technology,1001+
MIREA - Russian Technological University,1001+
University of Miskolc,1001+
University of Mohamed Boudiaf at M’Sila,1001+
Mohammed V University of Rabat,1001+
University of Monastir,1001+
University of Montenegro,1001+
Moscow Polytechnic University,1001+
University of Mumbai,1001+
University of Mysore,1001+
Nagasaki University,1001+
Nagoya Institute of Technology,1001+
University of Nairobi,1001+
Nanjing University of Aeronautics and Astronautics,1001+
Naresuan University,1001+
National Changhua University of Education,1001+
National Chung Cheng University,1001+
National University of Colombia,1001+
National Dong Hwa University,1001+
National University of Kaohsiung,1001+
National Research University of Electronic Technology (MIET),1001+
National Research Saratov State University,1001+
National University of the South,1001+
National Technical University Kharkiv Polytechnic Institute,1001+
National Technical University of Ukraine – Igor Sikorsky Kyiv Polytechnic Institute,1001+
University of Nigeria Nsukka,1001+
Niigata University,1001+
Northeastern University,1001+
North-Eastern Federal University,1001+
Nosov Magnitogorsk State Technical University,1001+
Obafemi Awolowo University,1001+
Oles Honchar Dnipro National University,1001+
Omsk State Technical University,1001+
Ondokuz Mayis University,1001+
University of Ostrava,1001+
Universitas Padjadjaran,1001+
University of Pardubice,1001+
University of Pécs,1001+
University of Peradeniya,1001+
Perm National Research Polytechnic University,1001+
Perm State University,1001+
Persian Gulf University,1001+
University of the Philippines,1001+
Pontifical Javeriana University,1001+
Prince of Songkla University,1001+
PSG College of Technology,1001+
Recep Tayyip Erdoğan University,1001+
Ritsumeikan University,1001+
University of the Ryukyus,1001+
Samara State Technical University,1001+
"University of Santiago, Chile (USACH)",1001+
Satbayev University,1001+
Sathyabama Institute of Science and Technology,1001+
University of Science and Technology of Oran Mohamed-Boudiaf,1001+
Selçuk University,1001+
Shibaura Institute of Technology,1001+
Shimane University,1001+
Shizuoka University,1001+
Sidi Mohamed Ben Abdellah University,1001+
Silpakorn University,1001+
University of Sistan and Baluchestan,1001+
Sivas Cumhuriyet University,1001+
Slovak University of Technology in Bratislava,1001+
Sofia University,1001+
University of Sonora,1001+
Soonchunhyang University,1001+
Soongsil University,1001+
Sophia University,1001+
University of South China,1001+
Srinakharinwirot University,1001+
State University of Santa Cruz,1001+
Taras Shevchenko National University of Kyiv,1001+
Technical University of Liberec,1001+
Technical University of Sofia,1001+
Universiti Teknologi MARA,1001+
Thammasat University,1001+
Toho University,1001+
Tokai University,1001+
Tokyo University of Marine Science and Technology,1001+
University of Toyama,1001+
University of Tunis El Manar,1001+
Ufa State Aviation Technical University,1001+
V.N. Karazin Kharkiv National University,1001+
Voronezh State University,1001+
VSB - Technical University of Ostrava,1001+
University of Warmia and Mazury in Olsztyn,1001+
University of West Bohemia,1001+
West University of Timişoara,1001+
Wrocław University of Science and Technology,1001+
Yamagata University,1001+
Yanshan University,1001+
Yarmouk University,1001+
Yazd University,1001+
Yıldız Technical University,1001+
Yokohama City University,1001+
Yuan Ze University,1001+
Yuri Gagarin State Technical University of Saratov (SSTU),1001+
Yuriy Fedkovych Chernivtsi National University,1001+
