1	Massachusetts Institute of Technology (MIT)	1.67
2	Stanford University	2.00
3	Carnegie Mellon University	4.33
4	University of California, Berkeley	5.33
5	University of Oxford	5.33
6	ETH Zurich	6.33
7	Harvard University	7.00
8	National University of Singapore (NUS)	9.00
9	Tsinghua University	10.33
10	Nanyang Technological University (NTU)	11.67
11	Princeton University	12.67
12	University of California, Los Angeles (UCLA)	12.67
13	University of Toronto	16.00
14	Cornell University	18.00
15	Peking University	19.67
16	University of Cambridge	20.67
17	Imperial College London	22.00
18	University of Washington	22.33
19	Shanghai Jiao Tong University	25.00
20	University College London (UCL)	26.00
21	University of Edinburgh	26.00
22	Columbia University	28.00
23	New York University (NYU)	28.33
24	Georgia Institute of Technology (Georgia Tech)	29.67
25	Swiss Federal Institute of Technology Lausanne (EPFL)	30.33
26	University of Texas at Austin	30.67
27	Chinese University of Hong Kong (CUHK)	31.33
28	University of Michigan-Ann Arbor	35.00
29	Hong Kong University of Science and Technology	35.33
30	Zhejiang University	35.33
31	Technical University of Munich	37.33
32	University of Southern California	37.33
33	University of Illinois at Urbana-Champaign	38.67
34	University of Waterloo	44.33
35	California Institute of Technology (Caltech)	45.33
36	University of British Columbia	45.67
37	University of Montreal	48.00
38	University of California, San Diego (UCSD)	49.67
39	University of Pennsylvania	50.67
40	University of Technology Sydney	52.00
41	Korea Advanced Institute of Science and Technology (KAIST)	52.33
42	University of Science and Technology of China	53.00
43	University of Sydney	54.00
44	Yale University	54.33
45	University of Maryland, College Park	54.33
46	University of Tokyo	55.33
47	Paris Sciences et Lettres (PSL University)	55.67
48	Australian National University	56.67
49	University of Hong Kong	57.33
50	University of Wisconsin–Madison	58.00
51	University of North Carolina at Chapel Hill	59.00
52	University of Melbourne	59.33
53	Johns Hopkins University	59.33
54	Seoul National University	61.00
55	University of Chicago	61.33
56	University of New South Wales (UNSW Sydney)	62.33
57	City University of Hong Kong	64.33
58	McGill University	68.00
59	Hong Kong Polytechnic University	69.00
60	KU Leuven	69.67
